City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
119,Singaraja,ID,82.72,clear sky,-8.11,115.09,Puri Saron Hotels
120,Charters Towers,AU,72.66,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
121,Isangel,VU,77.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
122,Awbari,LY,48.04,broken clouds,26.59,12.78,فندق أوباري
123,Montlucon,FR,50.0,overcast clouds,46.33,2.6,Hotel De La Gare
124,Buraydah,SA,50.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
126,Atuona,PF,81.43,clear sky,-9.8,-139.03,Villa Enata
128,Dayong,CN,57.2,scattered clouds,25.02,118.29,Haiyue Express Hotel
131,Mar Del Plata,AR,93.99,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
133,Faya,SA,57.2,clear sky,18.39,42.45,مقبرة ال مجمل
136,Adrar,MR,64.56,broken clouds,20.5,-10.07,
137,Goderich,CA,37.99,scattered clouds,43.75,-81.72,Harmony Inn
139,Nantucket,US,44.6,overcast clouds,41.28,-70.1,Jared Coffin House
141,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
142,Maceio,BR,87.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
143,Bhadrachalam,IN,64.94,clear sky,17.67,80.88,Hotel Srinidhi Residency
144,Batemans Bay,AU,66.99,broken clouds,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
145,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
147,Katsuura,JP,46.4,light intensity shower rain,35.13,140.3,Katsuura Hotel Mikazuki
148,Kaitangata,NZ,55.99,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
150,Landeck,AT,41.0,broken clouds,47.13,10.56,Hotel Jägerhof
151,Mehendiganj,BD,64.72,clear sky,22.82,90.53,Nahar complex
152,Alta Floresta,BR,89.6,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
157,Saquarema,BR,84.2,scattered clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
158,Kieta,PG,79.79,overcast clouds,-6.22,155.63,
161,Pitimbu,BR,87.8,few clouds,-7.47,-34.81,Reserva do Abiaí
163,Lebu,CL,66.38,few clouds,-37.62,-73.65,Hostal Las Lilas
164,Araquari,BR,84.99,few clouds,-26.37,-48.72,Hotel Zanella Jasper
166,Antofagasta,CL,72.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
169,Madison Heights,US,42.01,light rain,42.49,-83.11,Red Roof Inn Detroit - Royal Oak/Madison Heights
170,China,MX,81.84,few clouds,25.7,-99.23,Hotel Las Palmas
173,Nikolskoye,RU,36.0,few clouds,59.7,30.79,Tourist House - Sablino
174,Seydi,TM,31.89,scattered clouds,39.48,62.91,
175,Wonthaggi,AU,72.0,clear sky,-38.6,145.59,Wonthaggi Caravans & Trailers
177,Pointe Michel,DM,82.4,scattered clouds,15.25,-61.38,Castle Comfort Lodge Dive Dominica
178,Esperance,AU,64.4,overcast clouds,-33.87,121.9,Hospitality Esperance
180,Ewa Beach,US,77.0,broken clouds,21.32,-158.01,Parkside By Gentry
182,Gaziantep,TR,41.0,clear sky,37.06,37.38,Hotel Novotel Gaziantep
185,Victoria,HK,66.2,few clouds,22.29,114.16,Mini Hotel Central
186,Narrabri,AU,73.4,broken clouds,-30.32,149.78,Crossroads Hotel
188,Gwadar,PK,66.76,clear sky,25.12,62.33,Sadaf Resort
189,Bluff,NZ,50.0,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
192,Ukiah,US,50.0,light rain,39.15,-123.21,Hampton Inn Ukiah
193,Atar,MR,68.74,broken clouds,20.52,-13.05,Oumou Elghoura
195,Sabya,SA,78.8,clear sky,17.15,42.63,Aseel Hotel Apartment
196,Airai,TL,66.96,overcast clouds,-8.93,125.41,Juvinal Martin
200,Vilhena,BR,86.0,scattered clouds,-12.74,-60.15,Hotel Mirage
203,Acapulco,MX,89.98,clear sky,16.86,-99.89,Crowne Plaza Acapulco
205,Lompoc,US,63.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
206,Katherine,AU,77.0,broken clouds,-14.47,132.27,Pine Tree Motel
207,Kahului,US,75.2,few clouds,20.89,-156.47,Maui Seaside Hotel
208,Salalah,OM,69.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
209,Georgetown,MY,82.4,scattered clouds,5.41,100.34,Cititel Penang
212,Boa Vista,BR,91.4,broken clouds,2.82,-60.67,Aipana Plaza Hotel
213,Nishihara,JP,62.6,few clouds,26.18,127.76,Minshuku Agaihama
214,Quatre Cocos,MU,81.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
220,Coquimbo,CL,68.0,few clouds,-29.95,-71.34,Hotel San Juan
221,Bilma,NE,64.06,clear sky,18.69,12.92,Expeditions Ténére voyages
223,Caravelas,BR,80.69,broken clouds,-17.71,-39.25,Pousada Dos Navegantes
224,Nizwa,OM,54.9,clear sky,22.93,57.53,Orient Apartments
227,Lazaro Cardenas,MX,90.1,scattered clouds,17.96,-102.2,Hotel Quinta Antigua
228,Carbondale,US,55.99,clear sky,37.73,-89.22,Best Western Saluki Inn
229,Kidal,ML,63.9,clear sky,18.44,1.41,
230,Codrington,AU,67.77,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
232,Roma,US,46.99,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
233,Corinto,GR,52.0,few clouds,37.94,22.96,Ephira Hotel
