City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
49,Bang Len,TH,2020-01-14 19:19:44,14.02,100.17,Clouds,few clouds,82.99,88,20,4.7,0.0,0.0
50,New Norfolk,AU,2020-01-14 19:23:33,-42.78,147.06,Clouds,overcast clouds,62.6,82,90,5.82,0.0,0.0
51,Chato,TZ,2020-01-14 19:23:33,-2.64,31.77,Clouds,few clouds,73.92,69,14,8.08,0.0,0.0
52,Karratha,AU,2020-01-14 19:23:33,-20.74,116.85,Clouds,broken clouds,84.36,82,52,8.7,0.0,0.0
53,Castro,BR,2020-01-14 19:23:33,-24.79,-50.01,Clouds,overcast clouds,82.45,39,98,1.77,0.0,0.0
54,Mehran,IR,2020-01-14 19:23:34,33.12,46.16,Clear,clear sky,33.8,69,0,4.7,0.0,0.0
55,Sur,OM,2020-01-14 19:23:34,22.57,59.53,Rain,light rain,65.61,63,1,3.67,0.13,0.0
56,Pisco,PE,2020-01-14 19:23:34,-13.7,-76.22,Clouds,broken clouds,73.0,30,75,10.29,0.0,0.0
57,Oakdale,US,2020-01-14 19:21:09,44.96,-92.96,Clouds,overcast clouds,25.0,79,90,11.41,0.0,0.0
58,Hobart,AU,2020-01-14 19:20:11,-42.88,147.33,Clouds,overcast clouds,63.0,82,90,5.82,0.0,0.0
59,Port Alfred,ZA,2020-01-14 19:23:35,-33.59,26.89,Clouds,scattered clouds,73.0,93,26,1.01,0.0,0.0
60,Cockburn Town,TC,2020-01-14 19:23:35,21.46,-71.14,Clouds,scattered clouds,80.6,57,40,13.87,0.0,0.0
61,Vila Velha,BR,2020-01-14 19:23:35,-20.33,-40.29,Clouds,broken clouds,80.6,69,75,13.87,0.0,0.0
62,Ilulissat,GL,2020-01-14 19:23:35,69.22,-51.1,Snow,light shower snow,3.2,65,75,18.34,0.0,0.0
63,Barabash,RU,2020-01-14 19:23:36,43.2,131.48,Clear,clear sky,-5.8,70,0,7.76,0.0,0.0
64,Muscat,OM,2020-01-14 19:23:36,23.61,58.59,Clouds,few clouds,64.4,68,20,5.82,0.0,0.0
65,Bambous Virieux,MU,2020-01-14 19:23:36,-20.34,57.76,Rain,shower rain,81.0,83,40,4.7,0.0,0.0
66,Nemuro,JP,2020-01-14 19:23:36,43.32,145.57,Clear,clear sky,27.03,77,0,11.88,0.0,0.0
67,Saskylakh,RU,2020-01-14 19:23:36,71.92,114.08,Clear,clear sky,-16.35,93,0,15.32,0.0,0.0
68,Viedma,AR,2020-01-14 19:23:37,-40.81,-63.0,Clear,clear sky,88.97,16,0,17.98,0.0,0.0
69,Najran,SA,2020-01-14 19:23:37,17.49,44.13,Clear,clear sky,53.6,32,0,4.7,0.0,0.0
70,Fortuna,US,2020-01-14 19:23:37,40.6,-124.16,Rain,light rain,50.0,87,90,3.36,0.0,0.0
71,Abu Samrah,SY,2020-01-14 19:23:38,35.3,37.18,Clear,clear sky,46.04,54,7,8.34,0.0,0.0
72,Mercedes,AR,2020-01-14 19:23:38,-34.65,-59.43,Clouds,scattered clouds,88.0,69,45,5.99,0.0,0.0
73,Dikson,RU,2020-01-14 19:23:38,73.51,80.55,Clouds,overcast clouds,-10.62,99,97,10.94,0.0,0.0
74,Jamestown,US,2020-01-14 19:22:12,42.1,-79.24,Clouds,few clouds,51.8,65,20,12.75,0.0,0.0
75,Khatanga,RU,2020-01-14 19:23:39,71.97,102.5,Clouds,scattered clouds,-20.07,89,50,5.32,0.0,0.0
